"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151"
19.9996454714463,19.9995762171464,19.9994951303447,19.999400528148,19.9992905489108,19.9991631428098,19.9990160632883,19.9988468595714,19.9986528704484,19.9984312195122,19.99817881203,19.9978923336046,19.9975682507626,19.9972028135855,19.9967920604725,19.996331825104,19.9958177456505,19.9952452762595,19.9946097008379,19.9939061491474,19.9931296152386,19.9922749782585,19.9913370257016,19.990310479198,19.9891900229836,19.9879703352343,19.9866461224964,19.985212157485,19.9836633205521,19.9819946451393,19.9802013675229,19.9782789811157,19.9762232955208,19.9740305004138,19.9716972341755,19.9692206569977,19.9665985279426,19.9638292851606,19.9609121281688,19.9578471007705,19.9546351728774,19.9512783191891,19.9477795924143,19.9441431884997,19.9403745011874,19.936480163169,19.9324680711527,19.9283473923316,19.9241285500294,19.9198231867147,19.9154441031089,19.9110051727459,19.906521232066,19.902007946906,19.8974816570641,19.8929592014229,19.8884577268905,19.8839944851132,19.8795866215091,19.8752509616212,19.8710038000855,19.8668606976214,19.8628362913783,19.858944123708,19.8551964939868,19.8516043374994,19.8481771346372,19.8449228527996,19.8418479224288,19.8389572476182,19.836254250729,19.8337409494771,19.831418064039,19.8292851509063,19.8273407595124,19.825582607084,19.8240077667402,19.8226128635899,19.8213942734467,19.8203483188005,19.8194714568396,19.8187604545895,19.8182125466227,19.8178255712696,19.8175980818171,19.8175294298006,19.8176198181643,19.8178703227707,19.8182828814706,19.8188602506935,19.8196059302689,19.8205240579344,19.8216192757184,19.8228965710816,19.8243610963664,19.8260179706994,19.8278720690288,19.8299278034117,19.8321889020097,19.8346581914558,19.8373373883385,19.8402269054747,19.8433256784163,19.8466310172525,19.8501384882279,19.8538418290102,19.8577329006246,19.8618016781423,19.8660362812027,19.8704230443829,19.8749466263518,19.8795901556856,19.8843354102187,19.8891630258935,19.8940527302876,19.898983595359,19.9039343034919,19.9088834206494,19.9138096703585,19.9186922023668,19.9235108501066,19.9282463715657,19.9328806687777,19.9373969818721,19.9417800544479,19.9460162679075,19.9500937432902,19.9540024100363,19.9577340419704,19.961282261582,19.9646425143928,19.9678120158039,19.9707896733118,19.9735759873533,19.9761729342948,19.9785838352141,19.9808132141468,19.9828666493934,19.9847506213134,19.9864723597988,19.9880396943126,19.9894609090412,19.9907446053345,19.991899573222,19.9929346734042,19.9938587307405,19.9946804398924,19.9954082834489,19.9960504625562,19.9966148398116,19.9971088939508
19.9995387631007,19.9994491998636,19.9993444435322,19.9992223539361,19.9990805672574,19.9989164848902,19.9987272634964,19.9985098065119,19.9982607573489,19.9979764945298,19.9976531289636,19.9972865035587,19.9968721953272,19.9964055201139,19.9958815400408,19.9952950737311,19.9946407093447,19.9939128204344,19.993105584614,19.992213005025,19.9912289345944,19.9901471030898,19.9889611470138,19.9876646424172,19.9862511407637,19.9847142080362,19.9830474673328,19.9812446452547,19.9792996224312,19.9772064885478,19.9749596022422,19.9725536561878,19.9699837476075,19.9672454543247,19.9643349162787,19.9612489221957,19.9579850008209,19.9545415157874,19.9509177628333,19.9471140676955,19.9431318826189,19.938973879051,19.934644033762,19.9301477053636,19.9254916980191,19.9206843090702,19.915735357357,19.9106561892124,19.9054596594503,19.9001600851701,19.894773170833,19.8893159038336,19.8838064206587,19.878263844669,19.8727080975221,19.8671596872316,19.8616394767944,19.8561684381612,19.8507673970422,19.8454567745942,19.8402563323877,19.8351849271964,19.8302602820614,19.8254987797657,19.820915284316,19.8165229952863,19.8123333389658,19.8083558991952,19.8045983896284,19.8010666679439,19.7977647913196,19.7946951112987,19.7918584050712,19.7892540391976,19.7868801609468,19.7847339117231,19.7828116565413,19.7811092231692,19.7796221444037,19.7783458969677,19.7772761306972,19.7764088820271,19.7757407662442,19.7752691435593,19.7749922547229,19.7749093226572,19.7750206173934,19.7753274824531,19.7758323217065,19.7765385466402,19.7774504848846,19.7785732517539,19.7799125874371,19.7814746633346,19.7832658618314,19.7852925345354,19.7875607446545,19.7900759997254,19.7928429813178,19.7958652786021,19.7991451327671,19.8026831991953,19.8064783340334,19.8105274113373,19.8148251763219,19.8193641394177,19.824134514852,19.8291242063498,19.8343188413273,19.8397018536635,19.8452546138276,19.8509566038511,19.8567856334151,19.8627180922117,19.8687292327776,19.8747934772168,19.8808847406599,19.8869767639584,19.8930434480033,19.8990591821787,19.9049991598017,19.9108396739549,19.9165583878397,19.9221345746524,19.927549322972,19.9327857046954,19.9378289036497,19.9426663040826,19.9472875392755,19.9516845014845,19.9558513152786,19.9597842770909,19.9634817644055,19.9669441184715,19.9701735047556,19.9731737555245,19.9759501989964,19.9785094794184,19.9808593722486,19.9830085983396,19.9849666406749,19.986743566805,19.9883498596855,19.9897962591637,19.9910936158874,19.9922527589553,19.9932843781899,19.9941989215048,19.9950065074673,19.9957168528282,19.9963392145091
19.9994023781902,19.9992870338172,19.9991522652663,19.9989953630787,19.998813339369,19.9986029147906,19.9983605071249,19.9980822218159,19.9977638447532,19.9974008375929,19.9969883358725,19.9965211501477,19.9959937703315,19.9954003733782,19.9947348344041,19.9939907412949,19.9931614128072,19.992239920138,19.9912191119123,19.9900916425274,19.9888500037967,19.9874865598543,19.9859935853178,19.9843633067603,19.982587947603,19.9806597766144,19.9785711602785,19.9763146193634,19.9738828900804,19.9712689902605,19.9684662909764,19.9654685940001,19.9622702153961,19.9588660754013,19.9552517945314,19.95142379558,19.9473794108365,19.9431169934612,19.9386360315188,19.9339372627129,19.9290227873982,19.9238961769994,19.9185625745679,19.9130287838803,19.9073033432637,19.9013965802387,19.8953206431345,19.8890895060597,19.8827189440206,19.8762264755711,19.8696312711368,19.8629540260739,19.856216798564,19.8494428135794,19.8426562353317,19.835881911796,19.8291450960259,19.822471149994,19.8158852375582,19.8094120138193,19.8030753185689,19.7968978816975,19.7909010483295,19.7851045310713,19.7795261961118,19.7741818890233,19.7690853050093,19.7642479070748,19.7596788942063,19.7553852201925,19.7513716622508,19.7476409371967,19.7441938615609,19.7410295508514,19.7381456521292,19.7355386032214,19.733203911272,19.7311364429198,19.7293307182064,19.7277812003417,19.7264825736736,19.7254300026146,19.7246193648368,19.7240474527435,19.7237121380432,19.7236124951503,19.7237488801212,19.7241229628641,19.7247377114321,19.7255973283043,19.7267071396602,19.7280734397461,19.7297032935048,19.7316043016684,19.7337843334871,19.7362512331529,19.7390125067643,19.742074997333,19.7454445558356,19.7491257166394,19.753121385758,19.7574325503037,19.762058017189,19.7669941885828,19.7722348808519,19.7777711927279,19.7835914272583,19.7896810707502,19.7960228304456,19.8025967311174,19.809380269193,19.816348621459,19.8234749039249,19.8307304750727,19.8380852765536,19.8455082034354,19.8529674954031,19.8604311398793,19.8678672778795,19.8752446035442,19.8825327486864,19.8897026443363,19.8967268521232,19.9035798593729,19.9102383329679,19.9166813282812,19.9228904507917,19.9288499692901,19.9345468808323,19.939970928765,19.9451145761956,19.9499729381881,19.954543676716,19.9588268629814,19.9628248121178,19.9665418955299,19.9699843362015,19.973159992229,19.976078133638,19.9787492172255,19.9811846637669,19.9833966414568,19.9853978589279,19.9872013706506,19.9888203969527,19.990268160354,19.9915577393788,19.9927019405133,19.9937131885243,19.9946034349458,19.9953840841926
19.9992287990059,19.9990808695919,19.9989082131703,19.9987074149745,19.9984747153487,19.9982059946635,19.9978967604145,19.9975421369018,19.997136857865,19.9966752624257,19.996151294645,19.9955585069616,19.9948900677147,19.994138772902,19.9932970622556,19.9923570396617,19.9913104978907,19.9901489475612,19.9888636502246,19.9874456554389,19.9858858417046,19.9841749611538,19.9823036879282,19.9802626702454,19.9780425862306,19.9756342036858,19.9730284440612,19.9702164509921,19.9671896638376,19.963939896716,19.9604594235415,19.9567410695364,19.9527783095918,19.9485653736891,19.9440973593464,19.9393703507398,19.9343815437485,19.9291293757172,19.9236136582061,19.9178357104587,19.911798490752,19.9055067222656,19.8989670096151,19.8921879418087,19.8851801771077,19.8779565051562,19.8705318818107,19.8629234323628,19.8551504193323,19.8472341717029,19.8391979733778,19.8310669097198,19.822867672286,19.8146283232146,19.8063780221365,19.7981467198894,19.7899648246617,19.7818628474146,19.7738710344707,19.7660189959562,19.7583353393093,19.7508473172728,19.7435804996705,19.7365584778138,19.7298026096132,19.723331812399,19.7171624091422,19.7113080322366,19.7057795873452,19.7005852780601,19.6957306903697,19.6912189342136,19.687050837798,19.6832251889061,19.6797390161879,19.6765879024085,19.6737663208779,19.6712679857924,19.6690862069932,19.6672142396717,19.6656456198191,19.6643744766974,19.6633958142826,19.6627057544678,19.6623017357881,19.6621826625159,19.6623490001486,19.6628028145521,19.6635477533068,19.6645889691184,19.6659329864776,19.667587514068,19.66956120671,19.6718633818656,19.6745036969021,19.6774917943804,19.6808369235834,19.6845475472947,19.688630943446,19.693092811653,19.6979368948212,19.7031646259052,19.7087748095391,19.7147633476094,19.7211230169209,19.7278433059296,19.7349103161013,19.7423067318483,19.7500118612322,19.7580017477647,19.7662493517408,19.7747247976715,19.7833956826029,19.7922274384832,19.8011837403232,19.8102269507343,19.8193185905673,19.8284198248317,19.8374919528712,19.8464968918997,19.855397643455,19.864158733074,19.8727466145014,19.881130030969,19.8892803274676,19.8971717094341,19.9047814448231,19.9120900080879,19.9190811660894,19.9257420073585,19.9320629174005,19.9380375038383,19.9436624760998,19.9489374850787,19.9538649287022,19.9584497296557,19.962699091627,19.9666222403783,19.9702301557335,19.9735353002217,19.9765513496517,19.9792929303471,19.9817753671635,19.9840144457632,19.986026191962,19.9878266703082,19.989431803418,19.9908572129935,19.9921180828961,19.993229044155,19.9942040813519
19.9990088101468,19.9988198752038,19.9985995973802,19.9983436923207,19.9980474506002,19.9977057204816,19.9973128935763,19.9968628938967,19.9963491707628,19.9957646959842,19.9951019656847,19.9943530070746,19.9935093903967,19.9925622461969,19.9915022879826,19.9903198402541,19.9890048718167,19.98754703422,19.9859357051231,19.9841600363571,19.9822090064564,19.9800714774515,19.9777362557714,19.9751921571775,19.9724280757526,19.969433057085,19.9661963759103,19.962707618597,19.9589567709659,19.9549343120115,19.9506313141244,19.9460395503869,19.9411516094139,19.9359610180266,19.9304623717722,19.9246514729318,19.9185254752,19.9120830336744,19.9053244581857,19.8982518673498,19.890869340056,19.883183060467,19.8752014520246,19.866935295478,19.8583978256171,19.8496048012447,19.840574542983,19.8313279338159,19.8218883778303,19.8122817134365,19.8025360784163,19.7926817254338,19.7827507881196,19.772776999442,19.7627953657589,19.7528418016182,19.7429527319837,19.7331646700212,19.7235137798189,19.7140354343776,19.7047637798323,19.6957313171188,19.6869685121634,19.6785034451349,19.6703615083811,19.6625651614035,19.65513374965,19.6480833920917,19.6414269405606,19.635174011743,19.6293310906187,19.6239017020914,19.6188866456407,19.6142842860948,19.6100908921414,19.6063010129814,19.6029078826293,19.5999038407746,19.5972807588419,19.595030459924,19.5931451215696,19.5916176509876,19.5904420230277,19.5896135722974,19.5891292319371,19.588987712874,19.5891896187736,19.5897374933908,19.5906357985575,19.5918908226104,19.5935105206488,19.5955042895768,19.5978826824325,19.6006570679846,19.60383924298,19.6074410057118,19.6114737007149,19.6159477453527,19.6208721497978,19.626254042398,19.63209821262,19.6384066836653,19.6451783264251,19.6524085256794,19.6600889083664,19.6682071423469,19.676746812416,19.6856873784003,19.6950042180813,19.7046687554726,19.7146486727134,19.7249082016069,19.7354084887026,19.7461080258672,19.7569631365838,19.7679285068168,19.7789577482238,19.7900039808288,19.8010204219943,19.8119609686578,19.8227807603058,19.8334367110229,19.8438880001288,19.8540965123469,19.8640272200883,19.8736485021956,19.8829323953354,19.8918547760657,19.9003954733937,19.908538313316,19.9162710983563,19.9235855264467,19.9304770546125,19.9369447138006,19.9429908818318,19.948621021857,19.9538433938735,19.9586687468208,19.9631099985469,19.9671819105532,19.9709007638975,19.9742840420098,19.977350125469,19.9801180030319,19.982607002432,19.9848365436832,19.9868259168714,19.988594085694,19.9901595173408,19.9915400387075,19.9927527183974
19.9987311689259,19.9984908555047,19.9982109825833,19.9978861988814,19.9975106318786,19.9970778683765,19.9965809388842,19.9960123064245,19.9953638603231,19.994626915484,19.9937922175835,19.9928499545268,19.9917897744138,19.990600810151,19.9892717107411,19.9877906791703,19.9861455167179,19.9843236734258,19.9823123044038,19.9800983316107,19.9776685107402,19.9750095028741,19.9721079506234,19.9689505585735,19.9655241779775,19.9618158957844,19.9578131282498,19.9535037195348,19.948876045837,19.9439191257096,19.938622737275,19.9329775430299,19.9269752228356,19.9206086154865,19.9138718689416,19.9067605988777,19.8992720546898,19.8914052914282,19.8831613454507,19.8745434107924,19.8655570124762,19.8562101722156,19.8465135612712,19.8364806346451,19.8261277403897,19.8154741976151,19.8045423368411,19.7933574966845,19.781947971524,19.7703449057386,19.7585821313692,19.7466959475673,19.7347248419342,19.7227091557495,19.7106906970719,19.6987123076841,19.6868173917573,19.6750494158432,19.6634513912777,19.6520653512228,19.6409318353216,19.6300893952503,19.619574134291,19.6094192934188,19.5996548953131,19.5903074561979,19.5813997735562,19.5729507956067,19.5649755760757,19.5574853153175,19.5504874863453,19.5439860418966,19.5379816963846,19.5324722745281,19.5274531166863,19.522917529486,19.5188572692515,19.5152630450448,19.5121250277956,19.509433352037,19.5071785971293,19.5053522355401,19.5039470366951,19.5029574161019,19.5023797208279,19.5022124439533,19.5024563622862,19.5031145933812,19.5041925697321,19.5056979298715,19.5076403279876,19.5100311655434,19.5128832502106,19.5162103892012,19.5200269257492,19.5243472290252,19.5291851491336,19.5345534499835,19.5404632337165,19.5469233709654,19.5539399514754,19.561515769515,19.5696498580099,19.5783370844526,19.5875678203631,19.5973276944371,19.607597437537,19.6183528254226,19.6295647226353,19.6411992283233,19.6532179221086,19.665578205439,19.6782337313289,19.6911349130631,19.7042295003897,19.717463210042,19.7307803961501,19.7441247452767,19.7574399804495,19.7706705586804,19.7837623470264,19.796663263235,19.8093238683795,19.8216979005568,19.833742740632,19.8454198030925,19.8566948472335,19.8675382060787,19.877924932551,19.8878348644108,19.8972526112911,19.9061674687641,19.9145732657171,19.9224681523929,19.9298543372452,19.9367377812742,19.9431278587564,19.9490369932796,19.9544802777705,19.9594750867756,19.9640406886763,19.9681978647989,19.9719685415731,19.9753754410115,19.9784417538783,19.9811908389957,19.9836459512405,19.9858299999234,19.9877653384441,19.9894735853792,19.990975476511
19.9983822246809,19.9980778136738,19.9977236846815,19.9973131837563,19.9968390210374,19.9962932491872,19.9956672468148,19.9949517076152,19.9941366359009,19.9932113491216,19.9921644878746,19.9909840337886,19.9896573355373,19.9881711430951,19.9865116502086,19.9846645449133,19.9826150678005,19.9803480776247,19.9778481237612,19.9750995249727,19.9720864539312,19.9687930269735,19.9652033986439,19.9613018606968,19.9570729453857,19.9525015330519,19.947572964227,19.9422731566669,19.9365887279226,19.930507124198,19.9240167563363,19.9171071437814,19.9097690672632,19.9019947307428,19.8937779328056,19.8851142472065,19.8760012116586,19.8664385232145,19.8564282377568,19.8459749702068,19.8350860911324,19.8237719145272,19.8120458707056,19.7999246575663,19.7874283629807,19.7745805508181,19.7614083031733,19.7479422117495,19.7342163120991,19.7202679555313,19.7061376149591,19.6918686227278,19.6775068405108,19.6631002635839,19.6486985641262,19.6343525805389,19.6201137620209,19.6060335796866,19.5921629172582,19.5785514557207,19.5652470672171,19.5522952338344,19.5397385067489,19.5276160204652,19.5159630756053,19.504810801937,19.4941859111358,19.4841105462292,19.4746022318934,19.4656739268425,19.4573341766034,19.4495873620923,19.4424340367142,19.4358713422771,19.4298934919154,19.4244923065187,19.4196577898791,19.4153787269431,19.4116432891561,19.4084396309314,19.4057564617063,19.4035835788522,19.4019123478271,19.4007361173563,19.4000505590594,19.3998539227565,19.4001472006578,19.4009341957132,19.4022214915593,19.4040183237021,19.4063363538,19.4091893511187,19.4125927874054,19.4165633535182,19.4211184081283,19.4262753706345,19.4320510720465,19.4384610789632,19.4455190068346,19.4532358394133,19.4616192716223,19.4706730929607,19.4803966280073,19.4907842495572,19.5018249784423,19.513502182161,19.5257933821273,19.5386701766857,19.5520982841217,19.5660377067979,19.5804430143739,19.595263740924,19.6104448877586,19.6259275209834,19.6416494503943,19.6575459742827,19.6735506731827,19.6895962345774,19.7056152901143,19.7215412469718,19.7373090956413,19.7528561775119,19.7681228972079,19.7830533665591,19.7975959693068,19.8117038380679,19.8253352376151,19.8384538510835,19.8510289682123,19.8630355770868,19.8744543630117,19.8852716200521,19.8954790824034,19.9050736840581,19.9140572562197,19.9224361725702,19.9302209528422,19.9374258351963,19.9440683276873,19.9501687486537,19.9557497652195,19.9608359382888,19.9654532814936,19.9696288405412,19.973390298354,19.9767656103243,19.9797826729449,19.982469028063,19.9848516040388,19.9869564942154,19.988808772308
19.9979454819258,19.9975614493265,19.9971151962152,19.9965984859127,19.9960023099081,19.9953168643859,19.9945315332036,19.9936348782007,19.9926146376452,19.9914577335194,19.9901502882174,19.9886776510749,19.9870244349814,19.9851745631445,19.9831113258908,19.9808174472063,19.9782751605556,19.9754662933733,19.9723723595178,19.9689746589041,19.9652543835211,19.9611927290727,19.9567710115721,19.951970788371,19.9467739832926,19.9411630157772,19.9351209342,19.9286315537847,19.9216795997788,19.9142508567581,19.9063323250575,19.8979123853622,19.8889809724058,19.8795297584984,19.8695523472202,19.8590444770743,19.8480042341824,19.8364322722559,19.8243320370982,19.8117099918367,19.7985758379877,19.7849427263832,19.7708274510087,19.7562506179662,19.7412367811815,19.7258145361601,19.7100165631386,19.6938796114087,19.677444417443,19.660755550735,19.6438611829533,19.6268127780808,19.6096647035836,19.5924737652642,19.5752986711861,19.5581994328064,19.5412367140913,19.5244711417978,19.5079625921603,19.491769470823,19.4759480039112,19.4605515585834,19.4456300112035,19.4312291804153,19.4173903409138,19.4041498316347,19.3915387695091,19.3795828769469,19.3683024279438,19.3577123142671,19.3478222297083,19.338636967006,19.3301568188753,19.3223780717117,19.3152935780773,19.3088933920649,19.3031654501337,19.298096279021,19.2936717118741,19.2898775937837,19.2867004584106,19.2841281583364,19.2821504330863,19.2807594004114,19.2799499583373,19.2797200876178,19.2800710465464,19.2810074525192,19.2825372472787,19.2846715453595,19.2874243678736,19.2908122663742,19.2948538440945,19.2995691843234,19.3049791980167,19.3111049048923,19.3179666641749,19.3255833727782,19.3339716499787,19.3431450285002,19.3531131723238,19.3638811414385,19.3754487231128,19.3878098480853,19.4009521083505,19.4148563909821,19.4294966397243,19.4448397529799,19.4608456234011,19.4774673206569,19.4946514152279,19.5123384373748,19.5304634618863,19.5489568059328,19.5677448244633,19.586750785175,19.605895803228,19.6250998146424,19.6442825667157,19.6633646038486,19.6822682278485,19.7009184130368,19.7192436582727,19.7371767602201,19.754655494751,19.7716231961859,19.7880292270147,19.80382933373,19.8189858873217,19.8334680097611,19.8472515903562,19.8603191981259,19.8726598982862,19.8842689825198,19.8951476239073,19.9053024682301,19.9147451738185,19.9234919122435,19.9315628419564,19.9389815665177,19.9457745883471,19.9519707680369,19.957600798221,19.9626966998406,19.9672913474343,19.9714180288302,19.9751100433832,19.9784003416972,19.9813212086323,19.9839039903381,19.9861788651003
19.9974011023958,19.9969185879655,19.996358534986,19.9957107931886,19.994964280352,19.9941069573395,19.9931258114088,19.9920068488539,19.9907350979321,19.9892946228906,19.9876685497389,19.9858391042141,19.9837876621665,19.9814948123622,19.9789404314598,19.9761037706897,19.972963553554,19.96949808368,19.9656853618257,19.9615032109472,19.9569294082144,19.9519418229058,19.9465185592248,19.9406381032643,19.9342794735873,19.9274223751849,19.9200473568962,19.9121359727081,19.9036709476702,19.8946363494229,19.8850177665322,19.8748024948909,19.8639797333895,19.8525407898171,19.8404792975414,19.8277914428987,19.8144762024195,19.8005355880341,19.7859748972706,19.7708029642225,19.7550324057819,19.7386798563688,19.721766183223,19.7043166733358,19.6863611823718,19.6679342355408,19.6490750703962,19.6298276120102,19.6102403719426,19.5903662638867,19.5702623308267,19.5499893809329,19.5296115321806,19.5091956687107,19.4888108151356,19.4685274382018,19.4484166883036,19.4285495961608,19.4089962423826,19.3898249195213,19.3711013074626,19.3528876835355,19.3352421884989,19.318218168576,19.301863611975,19.286220695924,19.2713254572415,19.2572075959849,19.2438904178948,19.2313909173382,19.2197199983897,19.2088828277383,19.1988793093886,19.189704667776,19.1813501230236,19.1738036397159,19.1670507287945,19.1610752810266,19.1558604099451,19.1513892822039,19.1476459138808,19.1446159123572,19.1422871449392,19.1406503173035,19.1396994470885,19.1394322204485,19.1398502220896,19.1409590321636,19.1427681863591,19.1452909985642,19.1485442485329,19.1525477400384,19.1573237379885,19.1628962958715,19.1692904876416,19.1765315606798,19.1846440287254,19.1936507255815,19.2035718419109,19.2144239684597,19.2262191695475,19.2389641105658,19.2526592625155,19.2672982052635,19.2828670492127,19.2993439924949,19.3166990276525,19.3348938081702,19.3538816812315,19.3736078888407,19.3940099351004,19.4150181131048,19.4365561807492,19.4585421709079,19.4808893180238,19.5035070802932,19.526302234419,19.5491800183999,19.5720452970627,19.5948037250406,19.6173628826224,19.6396333613045,19.6615297778908,19.6829716985165,19.7038844569113,19.7241998544507,19.7438567329474,19.7628014145992,19.7809880069082,19.7983785736363,19.8149431758579,19.8306597898541,19.8455141109029,19.859499253922,19.8726153633916,19.884869146031,19.8962733403167,19.9068461371559,19.9166105658822,19.9255938592681,19.9338268105001,19.941343134073,19.948178841395,19.9543716405897,19.9599603685901,19.964984462185,19.9694834732364,19.9734966318779,19.9770624601589,19.9802184373351,19.9830007168599
19.9967253413139,19.9961215368988,19.9954215108576,19.9946128106763,19.9936818644307,19.9926139550145,19.9913932048976,19.9900025726732,19.9884238625106,19.9866377474523,19.9846238072672,19.982360581322,19.9798256366494,19.9769956510962,19.9738465111334,19.9703534236209,19.9664910405508,19.9622335955658,19.9575550508747,19.952429253078,19.9468300963864,19.9407316917656,19.9341085406863,19.9269357123791,19.9191890238018,19.910845221889,19.9018821680665,19.8922790254308,19.8820164494037,19.8710767830235,19.8594442582932,19.8471052051382,19.8340482694879,19.820264641763,19.8057482965966,19.7904962439315,19.7745087907251,19.7577898113612,19.7403470235692,19.7221922652093,19.7033417657911,19.6838164051056,19.6636419499778,19.6428492589711,19.6214744439962,19.5995589772938,19.5771497322361,19.5542989469099,19.5310641005299,19.5075076943978,19.483696931364,19.459703290497,19.4356019968547,19.4114713897586,19.3873921966657,19.363446723456,19.3397179755398,19.3162887274706,19.2932405615603,19.2706528981939,19.2486020420017,19.2271602686837,19.2063949770398,19.1863679296204,19.1671346034185,19.1487436692247,19.1312366147846,19.1146475228536,19.0990030108014,19.0843223337455,19.0706176484684,19.0578944307666,19.0461520345526,19.0353843771259,19.025580731655,19.0167266051712,19.0088046783063,19.0017957816537,18.9956798829891,18.9904370596248,18.9860484308605,18.9824970267574,18.9797685712493,18.9778521598331,18.9767408146788,18.9764319029067,18.9769274069182,18.978234038988,18.9803631957797,18.9833307519703,18.987156695737,18.9918646124084,18.9974810260699,19.0040346122901,19.0115552983307,19.0200732701618,19.0296179082432,19.0402166762831,19.05189398896,19.0646700858189,19.0785599391607,19.0935722236674,19.1097083747142,19.1269617607828,19.145316993119,19.1647493928011,19.1852246317681,19.2066985601817,19.2291172278904,19.2524171028486,19.2765254842905,19.3013611034219,19.3268348995394,19.3528509549873,19.3793075683631,19.40609844201,19.4331139572063,19.4602425086464,19.4873718688486,19.5143905530406,19.5411891558302,19.5676616325179,19.5937065001692,19.6192279364278,19.6441367573954,19.6683512596059,19.691797915029,19.7144119120287,19.7361375391422,19.7569284123163,19.7767475497397,19.7955673015656,19.8133691445479,19.8301433538957,19.8458885664333,19.8606112504529,19.8743250984593,19.887050359358,19.8988131265659,19.9096445980684,19.9195803236603,19.9286594535378,19.9369240011201,19.9444181315169,19.9511874854798,19.9572785470328,19.9627380613136,19.9676125075157,19.9719476302381,19.9757880310586,19.979176820768
